sexo,estado_civil,idade,possui_filhos,idade_media_filhos,cargo_atual/senioridade,home_office/hibrido,avaliação_ambiente_trabalho,modelo_ideal,modelo_pre_pandemia,modelo_pos_pandemia,satisfacao_vida_pessoal,satisfacao_cuidado_filhos,satisfacao_tarefas_domesticas,satisfacao_estudos,satisfacao_dev_carreira,sobrecarga_vida_pessoal,sobrecarga_cuidado_filhos,sobrecarga_tarefas_domesticas,sobrecarga_estudos,sobrecarga_dev_carreira,frustracao_vida_pessoal,frustracao_cuidado_filhos,frustracao_tarefas_domesticas,frustracao_estudos,frustracao_dev_carreira,inseguranca_vida_pessoal,inseguranca_cuidado_filhos,inseguranca_tarefas_domesticas,inseguranca_estudos,inseguranca_dev_carreira,nivel
Homem,Solteiro(a),25,Não,Não se aplica,Analista de Desenvolvimento de Sistemas Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Avançado
Homem,Solteiro(a),29,Não,Não se aplica,Desenvolvedor(a) Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,1.0,0.0,Não se aplica,0.0,0.0,1.0,0.0,Não se aplica,0.0,0.0,1.0,0.0,Não se aplica,0.0,0.0,2.0,Avançado
Homem,Namorando,24,Não,Não se aplica,Analista de Desenvolvimento Júnior,Híbrido,5.0,Híbrido,Não,Adotou o modelo de trabalho híbrido?,4.0,Não se aplica,5.0,5.0,5.0,1.0,Não se aplica,0.0,0.0,0.0,1.0,Não se aplica,0.0,0.0,0.0,1.0,Não se aplica,0.0,0.0,0.0,Entrada
Homem,Casado(a)/União Estável,41,Não,Não se aplica,Gerente,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Avançado
Mulher,Solteiro(a),21,Não,Não se aplica,Desenvolvedor(a) Júnior FullStack FrontEnd,Remoto,3.0,Híbrido,Não,Continuou trabalhando no modelo remoto?,1.0,Não se aplica,2.0,2.0,1.0,2.0,Não se aplica,1.0,2.0,1.0,2.0,Não se aplica,1.0,2.0,1.0,1.0,Não se aplica,1.0,2.0,0.0,Entrada
Homem,Casado(a)/União Estável,34,Sim,4,Analista Desenvolvedor(a) Sênior,Remoto,3.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,Avançado
Homem,Solteiro(a),25,Não,Não se aplica,Analista de Sistemas Júnior,Remoto,4.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,2.0,1.0,1.0,5.0,Não se aplica,3.0,4.0,5.0,1.0,Não se aplica,4.0,3.0,2.0,1.0,Não se aplica,1.0,2.0,3.0,Entrada
Homem,Solteiro(a),23,Não,Não se aplica,Analista de Desenvolvimento Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Avançado
Homem,Solteiro(a),42,Não,Não se aplica,Analista de Sistemas ,Remoto,1.0,Presencial,Não,Continuou trabalhando no modelo remoto?,3.0,Não se aplica,4.0,3.0,3.0,2.0,Não se aplica,4.0,4.0,4.0,1.0,Não se aplica,3.0,4.0,4.0,1.0,Não se aplica,1.0,4.0,4.0,Intermediário
Homem,Solteiro(a),21,Não,Não se aplica,Analista Desenvolvedor(a) júnior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,2.0,Não se aplica,2.0,3.0,0.0,0.0,Não se aplica,2.0,2.0,2.0,0.0,Não se aplica,0.0,2.0,4.0,Intermediário
Homem,Casado(a)/União Estável,37,Sim,6,Analista Desenvolvedor(a),Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intermediário
Homem,Casado(a)/União Estável,42,Sim,8s,Técnico(a),Híbrido,3.0,Híbrido,Não,Adotou o modelo de trabalho híbrido?,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Intermediário
Homem,Casado(a)/União Estável,52,Sim,25,Analista de Sistemas Sênior,Remoto,5.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Avançado
Homem,Divorciado(a),57,Sim,22s,Gerente desenvolvimento Sênior,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,Avançado
Homem,Solteiro(a),22,Não,Não se aplica,Desenvolvedor(a) Júnior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,2.0,1.0,1.0,Não se aplica,0.0,1.0,1.0,0.0,Não se aplica,0.0,0.0,0.0,Entrada
Mulher,Solteiro(a),25,Não,Não se aplica,Analista de Desenvilvimento Júnior ,Remoto,3.0,Híbrido,Não,Adotou o modelo de trabalho híbrido?,5.0,Não se aplica,5.0,5.0,5.0,5.0,Não se aplica,5.0,4.0,2.0,3.0,Não se aplica,3.0,3.0,4.0,4.0,Não se aplica,1.0,1.0,5.0,Entrada
Homem,Solteiro(a),27,Não,Não se aplica,AnalistaJúnior,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,5.0,Não se aplica,5.0,5.0,5.0,Entrada
Mulher,Casado(a)/União Estável,42,Sim,4,Gerente Sênior,Remoto,5.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,Avançado
Homem,Casado(a)/União Estável,45,Sim,12,Diretor(a),Presencial,4.0,Híbrido,Não,Voltou ao modelo de trabalho presencial?,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Avançado
Homem,Casado(a)/União Estável,37,Não,Não se aplica,Analista Dados Sênior,Remoto,4.0,Híbrido,Sim,Continuou trabalhando no modelo remoto?,2.0,Não se aplica,2.0,1.0,2.0,1.0,Não se aplica,2.0,1.0,2.0,1.0,Não se aplica,1.0,1.0,2.0,1.0,Não se aplica,1.0,1.0,2.0,Avançado
Homem,Solteiro(a),27,Não,Não se aplica,Engenheiro(a) de Software Sênior,Remoto,4.0,Híbrido,Sim,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,1.0,3.0,2.0,1.0,Não se aplica,2.0,2.0,2.0,0.0,Não se aplica,3.0,4.0,2.0,0.0,Não se aplica,2.0,3.0,2.0,Avançado
Homem,Solteiro(a),33,Não,Não se aplica,Analista de Sistemas Júnior,Remoto,4.0,Híbrido,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,1.0,0.0,Não se aplica,1.0,1.0,1.0,0.0,Não se aplica,1.0,1.0,1.0,0.0,Não se aplica,1.0,1.0,1.0,Entrada
Mulher,Casado(a)/União Estável,22,Não,Não se aplica,Analista e Desenvolvedor(a)(a) Júnior,Remoto,3.0,Híbrido,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,3.0,3.0,3.0,5.0,Não se aplica,4.0,4.0,2.0,2.0,Não se aplica,5.0,5.0,5.0,5.0,Não se aplica,3.0,3.0,3.0,Entrada
Mulher,Casado(a)/União Estável,24,Não,Não se aplica,Freelancer,Remoto,3.0,Híbrido,Não,Voltou ao modelo de trabalho presencial?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,2.0,1.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Homem,Solteiro(a),28,Não,Não se aplica,Estagiário(a),Remoto,5.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Entrada
Mulher,Casado(a)/União Estável,25,Não,Não se aplica,Analista de Suporte Júnior ,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,1.0,1.0,1.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Entrada
Mulher,Casado(a)/União Estável,31,Não,Não se aplica,Cientista de Dados Pleno,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,3.0,0.0,0.0,0.0,Não se aplica,3.0,0.0,3.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Mulher,Casado(a)/União Estável,43,Sim,14,Coordenadora de Gente & Gestão,Remoto,3.0,Remoto,Não,Continuou trabalhando no modelo remoto?,3.0,3.0,1.0,3.0,2.0,5.0,3.0,1.0,2.0,2.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,Intermediário
Homem,Solteiro(a),31,Não,Não se aplica,Consultor de negóciosJúnior,Híbrido,3.0,Híbrido,Sim,Adotou o modelo de trabalho híbrido?,5.0,Não se aplica,2.0,4.0,3.0,1.0,Não se aplica,5.0,4.0,0.0,0.0,Não se aplica,4.0,3.0,3.0,0.0,Não se aplica,3.0,3.0,5.0,Entrada
Mulher,Solteiro(a),22,Não,Não se aplica,Analista de RH Júnior,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,3.0,Não se aplica,3.0,2.0,2.0,5.0,Não se aplica,3.0,5.0,5.0,5.0,Não se aplica,4.0,3.0,5.0,5.0,Não se aplica,5.0,5.0,5.0,Entrada
Mulher,Solteiro(a),19,Não,Não se aplica,Estagiário(a) ,Remoto,4.0,Híbrido,Não,Adotou o modelo de trabalho híbrido?,1.0,Não se aplica,0.0,0.0,3.0,0.0,Não se aplica,0.0,1.0,0.0,2.0,Não se aplica,0.0,1.0,2.0,1.0,Não se aplica,0.0,1.0,2.0,Entrada
Mulher,Solteiro(a),23,Não,Não se aplica,QA Júnior ,Remoto,3.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,3.0,5.0,5.0,1.0,Não se aplica,2.0,3.0,3.0,0.0,Não se aplica,1.0,1.0,2.0,2.0,Não se aplica,2.0,4.0,5.0,Entrada
Mulher,Casado(a)/União Estável,41,Sim,6,Analista de Desenvolvimento Sênior,Remoto,3.0,Remoto,Não,Continuou trabalhando no modelo remoto?,2.0,3.0,4.0,1.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,Avançado
Mulher,Solteiro(a),22,Não,Não se aplica,Analista de Qualidade de Software Júnior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Entrada
Mulher,Casado(a)/União Estável,41,Sim,4,Pleno,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,4.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,0.0,1.0,5.0,5.0,Intermediário
Mulher,Casado(a)/União Estável,34,Não,Não se aplica,Desenvolvedor(a)eloper PL,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Mulher,Casado(a)/União Estável,35,Não,Não se aplica,Practice Leader,Híbrido,4.0,Híbrido,Sim,Adotou o modelo de trabalho híbrido?,5.0,Não se aplica,4.0,2.0,4.0,5.0,Não se aplica,5.0,5.0,5.0,2.0,Não se aplica,5.0,5.0,5.0,3.0,Não se aplica,3.0,5.0,5.0,Avançado
Mulher,Casado(a)/União Estável,23,Não,Não se aplica,Estagiário(a),Remoto,5.0,Remoto,Não,Voltou ao modelo de trabalho presencial?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,2.0,2.0,1.0,0.0,Não se aplica,1.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Entrada
Mulher,Casado(a)/União Estável,26,Não,Não se aplica,Analista de Dados   Sênior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,1.0,1.0,0.0,0.0,Não se aplica,3.0,3.0,0.0,0.0,Não se aplica,3.0,2.0,0.0,0.0,Não se aplica,2.0,2.0,0.0,Avançado
Mulher,Solteiro(a),20,Não,Não se aplica,Analista de QA Júnior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,1.0,Não se aplica,0.0,0.0,0.0,1.0,Não se aplica,4.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Entrada
Mulher,Casado(a)/União Estável,27,Não,Não se aplica,Analista de Dados Pleno,Remoto,1.0,Híbrido,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,1.0,1.0,1.0,0.0,Não se aplica,1.0,1.0,1.0,0.0,Não se aplica,1.0,1.0,1.0,2.0,Não se aplica,1.0,2.0,2.0,Intermediário
Mulher,Solteiro(a),30,Não,Não se aplica,Desenvolvedor(a) Full Stack Júnior.,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,1.0,Não se aplica,2.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,1.0,0.0,Entrada
Mulher,Solteiro(a),24,Não,Não se aplica,Cientista de Dados Pleno,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Mulher,Solteiro(a),25,Não,Não se aplica,Engenheiro(a) de Software   Pleno,Remoto,5.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,4.0,Não se aplica,5.0,4.0,3.0,1.0,Não se aplica,0.0,2.0,2.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Homem,Solteiro(a),32,Não,Não se aplica,Pleno,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Mulher,Solteiro(a),23,Não,Não se aplica,Estagiário(a),Remoto,3.0,Híbrido,Não,Continuou trabalhando no modelo remoto?,4.0,Não se aplica,0.0,3.0,3.0,5.0,Não se aplica,5.0,5.0,3.0,0.0,Não se aplica,0.0,1.0,1.0,0.0,Não se aplica,0.0,0.0,2.0,Entrada
Mulher,Casado(a)/União Estável,24,Não,Não se aplica,Analista de Dados,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,3.0,Não se aplica,3.0,4.0,4.0,0.0,Não se aplica,0.0,2.0,2.0,5.0,Não se aplica,3.0,4.0,5.0,Intermediário
Mulher,Casado(a)/União Estável,29 anos,Não,Não se aplica,Engenheiro(a) de DadosJúnior,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,1.0,2.0,0.0,Não se aplica,0.0,0.0,2.0,Entrada
Mulher,Solteiro(a),37,Não,Não se aplica,Engenheiro(a) de Dados Sênior,Remoto,2.0,Remoto,Não,Continuou trabalhando no modelo remoto?,2.0,Não se aplica,2.0,3.0,3.0,4.0,Não se aplica,4.0,2.0,2.0,3.0,Não se aplica,3.0,4.0,4.0,4.0,Não se aplica,3.0,2.0,2.0,Avançado
Mulher,Solteiro(a),28,Não,Não se aplica,Analista de Dados,Remoto,3.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,1.0,1.0,0.0,Não se aplica,1.0,1.0,1.0,0.0,Não se aplica,0.0,1.0,1.0,Intermediário
Mulher,Solteiro(a),31,Não,Não se aplica,Desenvolvedor(a)(a) Frontend Júnior,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,1.0,Não se aplica,2.0,1.0,2.0,1.0,Não se aplica,2.0,2.0,1.0,2.0,Não se aplica,2.0,2.0,2.0,3.0,Não se aplica,3.0,3.0,3.0,Entrada
Homem,Solteiro(a),32,Não,Não se aplica,Arquiteto(a) de Soluções ,Remoto,5.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,5.0,Não se aplica,5.0,5.0,5.0,0.0,Não se aplica,1.0,1.0,1.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Intermediário
Homem,Solteiro(a),27,Não,Não se aplica,Pleno,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,2.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,2.0,Intermediário
Mulher,Casado(a)/União Estável,37,Sim,5,Gerente de projetos,Remoto,4.0,Remoto,Não,Continuou trabalhando no modelo remoto?,3.0,4.0,2.0,1.0,4.0,3.0,4.0,5.0,5.0,0.0,3.0,3.0,5.0,5.0,2.0,0.0,1.0,4.0,5.0,1.0,Avançado
Mulher,Solteiro(a),30,Não,Não se aplica,Engenheiro(a) de Dados Sênior,Remoto,5.0,Remoto,Sim,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,0.0,Não se aplica,0.0,0.0,0.0,Avançado
Homem,Casado(a)/União Estável,39,Sim,5,Gerente de TI,Híbrido,3.0,Híbrido,Não,Adotou o modelo de trabalho híbrido?,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,Avançado
Homem,Casado(a)/União Estável,35,Não,Não se aplica,Arquiteto(a) de Software,Remoto,5.0,Remoto,Não,Continuou trabalhando no modelo remoto?,0.0,Não se aplica,0.0,0.0,1.0,0.0,Não se aplica,0.0,1.0,1.0,0.0,Não se aplica,0.0,0.0,2.0,0.0,Não se aplica,0.0,0.0,1.0,Intermediário
